model,dataset,depth,pool,policy,threshold,n,baseline_accuracy,treatment_accuracy,difference,ci_low,ci_high,helped,harmed,mcnemar_p,memory_use_rate
mistral-7b,openbookqa,complex,all,placebo,,221,0.7601809954751131,0.6470588235294118,-0.11312217194570136,-0.17647058823529413,-0.05429864253393665,12,37,0.0004697573180081349,
mistral-7b,openbookqa,complex,errors,always_top,,221,0.7601809954751131,0.7692307692307693,0.00904977375565611,-0.02262443438914027,0.04072398190045249,7,5,0.7744140625,
mistral-7b,openbookqa,complex,correct,always_top,,221,0.7601809954751131,0.7375565610859729,-0.02262443438914027,-0.07692307692307693,0.03167420814479638,16,21,0.5113757815852296,
mistral-7b,openbookqa,simple,all,always_top,,221,0.7601809954751131,0.7285067873303167,-0.03167420814479638,-0.09502262443438914,0.03167420814479638,22,29,0.4010619910279374,
mistral-7b,openbookqa,simple,all,placebo,,221,0.7601809954751131,0.6606334841628959,-0.09954751131221719,-0.15384615384615385,-0.04524886877828054,10,32,0.0009406740282429382,
mistral-7b,openbookqa,simple,errors,always_top,,221,0.7601809954751131,0.7692307692307693,0.00904977375565611,-0.01809954751131222,0.03619909502262444,6,4,0.75390625,
mistral-7b,openbookqa,simple,correct,always_top,,221,0.7601809954751131,0.7194570135746606,-0.04072398190045249,-0.09954751131221719,0.013574660633484163,16,25,0.21102359760880063,
phi4-mini,aqua,complex,all,always_top,,107,0.7009345794392523,0.616822429906542,-0.08411214953271028,-0.1588785046728972,0.0,5,14,0.063568115234375,
phi4-mini,aqua,complex,all,placebo,,110,0.7090909090909091,0.6363636363636364,-0.07272727272727272,-0.15454545454545454,0.00909090909090909,6,14,0.11531829833984375,
phi4-mini,aqua,complex,errors,always_top,,107,0.7009345794392523,0.6635514018691588,-0.037383177570093455,-0.08411214953271028,0.009345794392523364,1,5,0.21875,
phi4-mini,aqua,complex,errors,threshold_top,0.7718429016396402,107,0.7009345794392523,0.6822429906542056,-0.018691588785046728,-0.04672897196261682,0.0,0,2,0.5,0.1588785046728972
phi4-mini,aqua,complex,correct,always_top,,107,0.7009345794392523,0.6542056074766355,-0.04672897196261682,-0.11214953271028037,0.018691588785046728,4,9,0.266845703125,
phi4-mini,aqua,complex,correct,threshold_top,0.47805483408272265,107,0.7009345794392523,0.6542056074766355,-0.04672897196261682,-0.11214953271028037,0.018691588785046728,4,9,0.266845703125,0.7009345794392523
phi4-mini,aqua,simple,all,always_top,,106,0.6981132075471698,0.6320754716981132,-0.0660377358490566,-0.14150943396226415,0.009433962264150943,6,13,0.1670684814453125,
phi4-mini,aqua,simple,all,placebo,,111,0.7117117117117117,0.5945945945945946,-0.11711711711711711,-0.1981981981981982,-0.036036036036036036,4,17,0.007197380065917969,
phi4-mini,aqua,simple,errors,always_top,,106,0.6981132075471698,0.660377358490566,-0.03773584905660377,-0.08490566037735849,0.0,1,5,0.21875,
phi4-mini,aqua,simple,correct,always_top,,106,0.6981132075471698,0.6698113207547169,-0.02830188679245283,-0.09433962264150944,0.03773584905660377,5,8,0.5810546875,
phi4-mini,aqua,simple,correct,threshold_top,0.29999660074710843,106,0.6981132075471698,0.6698113207547169,-0.02830188679245283,-0.09433962264150944,0.03773584905660377,5,8,0.5810546875,0.7075471698113207
phi4-mini,arc,complex,all,always_top,,106,0.8490566037735849,0.8867924528301887,0.03773584905660377,-0.009433962264150943,0.09433962264150944,6,2,0.2890625,
phi4-mini,arc,complex,all,threshold_top,0.4088034965097904,106,0.8490566037735849,0.8867924528301887,0.03773584905660377,-0.009433962264150943,0.09433962264150944,6,2,0.2890625,0.9716981132075472
phi4-mini,arc,complex,all,placebo,,108,0.8240740740740741,0.8703703703703703,0.046296296296296294,-0.018518518518518517,0.1111111111111111,9,4,0.266845703125,
phi4-mini,arc,complex,errors,always_top,,106,0.8490566037735849,0.8490566037735849,0.0,0.0,0.0,0,0,1.0,
phi4-mini,arc,complex,errors,threshold_top,0.609129626572132,106,0.8490566037735849,0.8490566037735849,0.0,0.0,0.0,0,0,1.0,0.04716981132075472
phi4-mini,arc,complex,correct,always_top,,106,0.8490566037735849,0.8867924528301887,0.03773584905660377,-0.009433962264150943,0.09433962264150944,6,2,0.2890625,
phi4-mini,arc,complex,correct,threshold_top,0.38945231127738944,106,0.8490566037735849,0.8867924528301887,0.03773584905660377,-0.009433962264150943,0.09433962264150944,6,2,0.2890625,0.8584905660377359
phi4-mini,arc,simple,all,always_top,,106,0.8490566037735849,0.8962264150943396,0.04716981132075472,-0.009433962264150943,0.11320754716981132,8,3,0.2265625,
phi4-mini,arc,simple,all,threshold_top,0.29882268607616425,106,0.8490566037735849,0.8962264150943396,0.04716981132075472,-0.009433962264150943,0.11320754716981132,8,3,0.2265625,1.0
phi4-mini,arc,simple,all,placebo,,108,0.8240740740740741,0.7777777777777778,-0.046296296296296294,-0.12962962962962962,0.037037037037037035,7,12,0.359283447265625,
phi4-mini,arc,simple,errors,always_top,,106,0.8490566037735849,0.8490566037735849,0.0,0.0,0.0,0,0,1.0,
phi4-mini,arc,simple,errors,threshold_top,0.2989780557155609,106,0.8490566037735849,0.8490566037735849,0.0,0.0,0.0,0,0,1.0,0.12264150943396226
phi4-mini,arc,simple,correct,always_top,,106,0.8490566037735849,0.8962264150943396,0.04716981132075472,-0.009433962264150943,0.11320754716981132,8,3,0.2265625,
phi4-mini,arc,simple,correct,threshold_top,0.29886198818683624,106,0.8490566037735849,0.8962264150943396,0.04716981132075472,-0.009433962264150943,0.11320754716981132,8,3,0.2265625,0.8773584905660378
phi4-mini,gsm8k,complex,all,always_top,,435,0.8942528735632184,0.8436781609195402,-0.05057471264367816,-0.08735632183908046,-0.01839080459770115,18,40,0.005354859650800294,
phi4-mini,gsm8k,complex,all,placebo,,435,0.8942528735632184,0.8436781609195402,-0.05057471264367816,-0.08505747126436781,-0.01839080459770115,17,39,0.004561532746408219,
phi4-mini,gsm8k,complex,errors,always_top,,435,0.8942528735632184,0.8873563218390804,-0.006896551724137931,-0.020689655172413793,0.006896551724137931,3,6,0.5078125,
phi4-mini,gsm8k,complex,correct,always_top,,435,0.8942528735632184,0.8505747126436781,-0.04367816091954023,-0.07816091954022988,-0.013793103448275862,15,34,0.009399241523873059,
phi4-mini,gsm8k,simple,all,always_top,,434,0.8940092165898618,0.8341013824884793,-0.059907834101382486,-0.09216589861751152,-0.027649769585253458,13,39,0.0004095414537825804,
