dataset,student,depth,k,threshold,n_shared,wrong_to_right,right_to_wrong,kept_right,kept_wrong,rate_wrong_to_right,rate_right_to_wrong,utility,baseline_accuracy,condition_accuracy,delta_accuracy,accuracy,accuracy_answered,mean_retrieved,pct_fallback_baseline,mcnemar_p
arc,llama3-8b,complex,3,0.0,298,13,35,217,33,0.0436,0.1174,-0.0738,0.8456,0.7718,-0.0738,0.7718,0.7718,3.0,0.0,0.0020881073339964478
arc,llama3-8b,complex,3,0.52,298,15,35,217,31,0.0503,0.1174,-0.0671,0.8456,0.7785,-0.0671,0.7785,0.7785,2.98993288590604,0.003355704697986577,0.006600447966810918
arc,llama3-8b,complex,3,0.65,298,14,23,229,32,0.047,0.0772,-0.0302,0.8456,0.8154,-0.0302,0.8154,0.8182,1.6778523489932886,0.2684563758389262,0.18774155899882317
arc,llama3-8b,complex,3,0.69,298,10,13,239,36,0.0336,0.0436,-0.0101,0.8456,0.8356,-0.0101,0.8356,0.8384,0.8355704697986577,0.5234899328859061,0.6776394844055176
arc,llama3-8b,complex,3,0.73,298,5,9,243,41,0.0168,0.0302,-0.0134,0.8456,0.8322,-0.0134,0.8322,0.835,0.35570469798657717,0.7583892617449665,0.4239501953125
logiqa2,phi4-mini,simple,1,0.0,300,32,34,126,108,0.1067,0.1133,-0.0067,0.5333,0.5267,-0.0067,0.5267,0.5284,1.0,0.0,0.9021585000966994
logiqa2,phi4-mini,simple,1,0.53,300,32,34,126,108,0.1067,0.1133,-0.0067,0.5333,0.5267,-0.0067,0.5267,0.5284,1.0,0.0,0.9021585000966994
logiqa2,phi4-mini,simple,1,0.65,300,26,32,128,114,0.0867,0.1067,-0.02,0.5333,0.5133,-0.02,0.5133,0.5133,0.7333333333333333,0.26666666666666666,0.5118423084381691
logiqa2,phi4-mini,simple,1,0.67,300,22,20,140,118,0.0733,0.0667,0.0067,0.5333,0.54,0.0067,0.54,0.54,0.5166666666666667,0.48333333333333334,0.8776143287523154
logiqa2,phi4-mini,simple,1,0.7,300,20,14,146,120,0.0667,0.0467,0.02,0.5333,0.5533,0.02,0.5533,0.5533,0.2633333333333333,0.7366666666666667,0.39152830513194203
logiqa2,phi4-mini,simple,2,0.0,300,33,35,125,107,0.11,0.1167,-0.0067,0.5333,0.5267,-0.0067,0.5267,0.5302,2.0,0.0,0.9035973456835127
logiqa2,phi4-mini,simple,2,0.53,300,31,34,126,109,0.1033,0.1133,-0.01,0.5333,0.5233,-0.01,0.5233,0.5286,2.0,0.0,0.8043170001933984
logiqa2,phi4-mini,simple,2,0.65,300,24,24,136,116,0.08,0.08,0.0,0.5333,0.5333,0.0,0.5333,0.5333,1.27,0.26666666666666666,1.0
logiqa2,phi4-mini,simple,2,0.67,300,17,20,140,123,0.0567,0.0667,-0.01,0.5333,0.5233,-0.01,0.5233,0.5233,0.8566666666666667,0.48333333333333334,0.7428293587290682
logiqa2,phi4-mini,simple,2,0.7,300,13,16,144,127,0.0433,0.0533,-0.01,0.5333,0.5233,-0.01,0.5233,0.5268,0.39666666666666667,0.7366666666666667,0.711071103811264
logiqa2,phi4-mini,simple,3,0.0,300,31,34,126,109,0.1033,0.1133,-0.01,0.5333,0.5233,-0.01,0.5233,0.5233,3.0,0.0,0.8043170001933984
logiqa2,phi4-mini,simple,3,0.53,300,27,40,120,113,0.09,0.1333,-0.0433,0.5333,0.49,-0.0433,0.49,0.49,2.993333333333333,0.0,0.1420713794263756
logiqa2,phi4-mini,simple,3,0.65,300,27,21,139,113,0.09,0.07,0.02,0.5333,0.5533,0.02,0.5533,0.5533,1.6866666666666668,0.26666666666666666,0.470879013621712
logiqa2,phi4-mini,simple,3,0.67,300,25,17,143,115,0.0833,0.0567,0.0267,0.5333,0.56,0.0267,0.56,0.56,1.1133333333333333,0.48333333333333334,0.27995623852893914
logiqa2,phi4-mini,simple,3,0.7,300,17,20,140,123,0.0567,0.0667,-0.01,0.5333,0.5233,-0.01,0.5233,0.5251,0.45,0.7366666666666667,0.7428293587290682
logiqa2,phi4-mini,complex,1,0.0,300,35,34,126,105,0.1167,0.1133,0.0033,0.5333,0.5367,0.0033,0.5367,0.5385,1.0,0.0,1.0
logiqa2,phi4-mini,complex,1,0.53,300,32,44,116,108,0.1067,0.1467,-0.04,0.5333,0.4933,-0.04,0.4933,0.4966,1.0,0.0,0.20673684180839247
logiqa2,phi4-mini,complex,1,0.65,300,25,32,128,115,0.0833,0.1067,-0.0233,0.5333,0.51,-0.0233,0.51,0.5117,0.7333333333333333,0.26666666666666666,0.42704285650325524
logiqa2,phi4-mini,complex,1,0.67,300,19,23,137,121,0.0633,0.0767,-0.0133,0.5333,0.52,-0.0133,0.52,0.5235,0.5166666666666667,0.48333333333333334,0.6439689563703723
logiqa2,phi4-mini,complex,1,0.7,300,15,19,141,125,0.05,0.0633,-0.0133,0.5333,0.52,-0.0133,0.52,0.5217,0.2633333333333333,0.7366666666666667,0.6075913612730801
logiqa2,phi4-mini,complex,2,0.0,300,29,32,128,111,0.0967,0.1067,-0.01,0.5333,0.5233,-0.01,0.5233,0.5304,2.0,0.0,0.7981526273057179
logiqa2,phi4-mini,complex,2,0.53,300,29,36,124,111,0.0967,0.12,-0.0233,0.5333,0.51,-0.0233,0.51,0.5134,2.0,0.0,0.45702078541058977
logiqa2,phi4-mini,complex,2,0.65,300,19,23,137,121,0.0633,0.0767,-0.0133,0.5333,0.52,-0.0133,0.52,0.5217,1.27,0.26666666666666666,0.6439689563703723
logiqa2,phi4-mini,complex,2,0.67,300,18,22,138,122,0.06,0.0733,-0.0133,0.5333,0.52,-0.0133,0.52,0.5217,0.8566666666666667,0.48333333333333334,0.6358280026288412
logiqa2,phi4-mini,complex,2,0.7,300,13,18,142,127,0.0433,0.06,-0.0167,0.5333,0.5167,-0.0167,0.5167,0.5184,0.39666666666666667,0.7366666666666667,0.47312965989112854
